shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
P-3pAx0Y,51.51567,-0.07217,0
P-3pAx0Y,51.51572,-0.07222,1
P-3pAx0Y,51.51577,-0.07225,2
P-3pAx0Y,51.51585,-0.07232,3
P-3pAx0Y,51.51595,-0.0724,4
P-3pAx0Y,51.51638,-0.07274,5
P-3pAx0Y,51.51648,-0.07284,6
P-3pAx0Y,51.5167,-0.07302,7
P-3pAx0Y,51.51684,-0.07313,8
P-3pAx0Y,51.51695,-0.07322,9
P-3pAx0Y,51.51697,-0.07324,10
P-3pAx0Y,51.51698,-0.07325,11
P-3pAx0Y,51.51748,-0.07365,12
P-3pAx0Y,51.51774,-0.07386,13
P-3pAx0Y,51.51774,-0.07386,14
P-3pAx0Y,51.51789,-0.07398,15
P-3pAx0Y,51.51799,-0.07407,16
P-3pAx0Y,51.51812,-0.07418,17
P-3pAx0Y,51.51823,-0.07433,18
P-3pAx0Y,51.51835,-0.07442,19
P-3pAx0Y,51.51841,-0.07446,20
P-3pAx0Y,51.51848,-0.07449,21
P-3pAx0Y,51.51856,-0.0745,22
P-3pAx0Y,51.51865,-0.07451,23
P-3pAx0Y,51.51886,-0.07449,24
P-3pAx0Y,51.51886,-0.07449,25
P-3pAx0Y,51.51887,-0.07449,26
P-3pAx0Y,51.519,-0.07449,27
P-3pAx0Y,51.51912,-0.07449,28
P-3pAx0Y,51.51924,-0.07448,29
P-3pAx0Y,51.51932,-0.07448,30
P-3pAx0Y,51.51935,-0.07448,31
P-3pAx0Y,51.51962,-0.07448,32
P-3pAx0Y,51.51982,-0.07447,33
P-3pAx0Y,51.52011,-0.07447,34
P-3pAx0Y,51.52021,-0.07446,35
P-3pAx0Y,51.52034,-0.0745,36
P-3pAx0Y,51.52048,-0.07462,37
P-3pAx0Y,51.52069,-0.07482,38
P-3pAx0Y,51.52071,-0.07484,39
P-3pAx0Y,51.52095,-0.07509,40
P-3pAx0Y,51.52095,-0.07509,41
P-3pAx0Y,51.52097,-0.07511,42
P-3pAx0Y,51.52123,-0.0754,43
P-3pAx0Y,51.52135,-0.07554,44
P-3pAx0Y,51.52147,-0.0757,45
P-3pAx0Y,51.52168,-0.07598,46
P-3pAx0Y,51.52203,-0.07643,47
P-3pAx0Y,51.52207,-0.07648,48
P-3pAx0Y,51.52212,-0.07655,49
P-3pAx0Y,51.52216,-0.07661,50
P-3pAx0Y,51.52226,-0.07674,51
P-3pAx0Y,51.52231,-0.0768,52
P-3pAx0Y,51.52231,-0.0768,53
P-3pAx0Y,51.52237,-0.07688,54
P-3pAx0Y,51.52255,-0.07712,55
P-3pAx0Y,51.52268,-0.0773,56
P-3pAx0Y,51.52272,-0.0774,57
P-3pAx0Y,51.52273,-0.07745,58
P-3pAx0Y,51.52275,-0.0775,59
P-3pAx0Y,51.52277,-0.07756,60
P-3pAx0Y,51.5228,-0.07766,61
P-3pAx0Y,51.52282,-0.07774,62
P-3pAx0Y,51.522843,-0.077796,63
P-3pAx0Y,51.523019,-0.0777,64
P-3pAx0Y,51.523285,-0.077543,65
P-3pAx0Y,51.523632,-0.077347,66
P-3pAx0Y,51.523701,-0.077226,67
P-3pAx0Y,51.523923,-0.077223,68
P-3pAx0Y,51.524234,-0.077242,69
P-3pAx0Y,51.5243,-0.07724,70
P-3pAx0Y,51.5244,-0.07725,71
P-3pAx0Y,51.52448,-0.07727,72
P-3pAx0Y,51.52462,-0.07728,73
P-3pAx0Y,51.52469,-0.0773,74
P-3pAx0Y,51.52476,-0.07731,75
P-3pAx0Y,51.52492,-0.07735,76
P-3pAx0Y,51.52499,-0.07736,77
P-3pAx0Y,51.52522,-0.0774,78
P-3pAx0Y,51.52538,-0.07747,79
P-3pAx0Y,51.52562,-0.07764,80
P-3pAx0Y,51.52568,-0.07768,81
P-3pAx0Y,51.52569,-0.07769,82
P-3pAx0Y,51.52583,-0.07778,83
P-3pAx0Y,51.52583,-0.07778,84
P-3pAx0Y,51.52584,-0.07779,85
P-3pAx0Y,51.52601,-0.07791,86
P-3pAx0Y,51.52612,-0.07798,87
P-3pAx0Y,51.5262,-0.078,88
P-3pAx0Y,51.52628,-0.07802,89
P-3pAx0Y,51.52645,-0.07801,90
P-3pAx0Y,51.52645,-0.07801,91
P-3pAx0Y,51.52649,-0.07801,92
P-3pAx0Y,51.52663,-0.07802,93
P-3pAx0Y,51.52663,-0.07802,94
P-3pAx0Y,51.52673,-0.07802,95
P-3pAx0Y,51.52708,-0.07805,96
P-3pAx0Y,51.52718,-0.07806,97
P-3pAx0Y,51.52733,-0.07804,98
P-3pAx0Y,51.52736,-0.07804,99
P-3pAx0Y,51.52759,-0.078,100
P-3pAx0Y,51.52797,-0.07797,101
P-3pAx0Y,51.52826,-0.07794,102
P-3pAx0Y,51.52826,-0.07794,103
P-3pAx0Y,51.52829,-0.07794,104
P-3pAx0Y,51.52857,-0.07792,105
P-3pAx0Y,51.52877,-0.07786,106
P-3pAx0Y,51.52898,-0.07779,107
P-3pAx0Y,51.52904,-0.07776,108
P-3pAx0Y,51.52919,-0.07768,109
P-3pAx0Y,51.52933,-0.07761,110
P-3pAx0Y,51.52945,-0.07755,111
P-3pAx0Y,51.52949,-0.07753,112
P-3pAx0Y,51.52973,-0.07745,113
P-3pAx0Y,51.52985,-0.0774,114
P-3pAx0Y,51.53005,-0.07733,115
P-3pAx0Y,51.53015,-0.0773,116
P-3pAx0Y,51.53041,-0.07723,117
P-3pAx0Y,51.53058,-0.0772,118
P-3pAx0Y,51.53069,-0.07718,119
P-3pAx0Y,51.5308,-0.07716,120
P-3pAx0Y,51.53104,-0.07711,121
P-3pAx0Y,51.53114,-0.07709,122
P-3pAx0Y,51.53139,-0.07705,123
P-3pAx0Y,51.53178,-0.07702,124
P-3pAx0Y,51.53204,-0.07703,125
P-3pAx0Y,51.53213,-0.07704,126
P-3pAx0Y,51.53232,-0.07707,127
P-3pAx0Y,51.53232,-0.07707,128
P-3pAx0Y,51.53245,-0.07709,129
P-3pAx0Y,51.53265,-0.07712,130
P-3pAx0Y,51.53293,-0.07714,131
P-3pAx0Y,51.53311,-0.07714,132
P-3pAx0Y,51.53327,-0.07712,133
P-3pAx0Y,51.53331,-0.07712,134
P-3pAx0Y,51.53403,-0.07704,135
P-3pAx0Y,51.53403,-0.07704,136
P-3pAx0Y,51.53415,-0.07702,137
P-3pAx0Y,51.5344,-0.077,138
P-3pAx0Y,51.53452,-0.07698,139
P-3pAx0Y,51.53462,-0.07697,140
P-3pAx0Y,51.5351,-0.07693,141
P-3pAx0Y,51.53533,-0.07692,142
P-3pAx0Y,51.53562,-0.07691,143
P-3pAx0Y,51.53562,-0.07691,144
P-3pAx0Y,51.53573,-0.07691,145
P-3pAx0Y,51.53605,-0.0769,146
P-3pAx0Y,51.53626,-0.07688,147
P-3pAx0Y,51.53641,-0.07687,148
P-3pAx0Y,51.53649,-0.07687,149
P-3pAx0Y,51.53658,-0.07687,150
P-3pAx0Y,51.53666,-0.07686,151
P-3pAx0Y,51.53701,-0.07683,152
P-3pAx0Y,51.53721,-0.07681,153
P-3pAx0Y,51.53818,-0.07674,154
P-3pAx0Y,51.53822,-0.07674,155
P-3pAx0Y,51.53822,-0.07674,156
P-3pAx0Y,51.53824,-0.07674,157
P-3pAx0Y,51.53842,-0.07672,158
P-3pAx0Y,51.53844,-0.07672,159
P-3pAx0Y,51.53852,-0.07672,160
P-3pAx0Y,51.53868,-0.07671,161
P-3pAx0Y,51.53881,-0.07671,162
P-3pAx0Y,51.53899,-0.0767,163
P-3pAx0Y,51.53947,-0.0767,164
P-3pAx0Y,51.54055,-0.07655,165
P-3pAx0Y,51.54069,-0.07653,166
P-3pAx0Y,51.54072,-0.07653,167
P-3pAx0Y,51.54083,-0.07651,168
P-3pAx0Y,51.54096,-0.07648,169
P-3pAx0Y,51.541,-0.07647,170
P-3pAx0Y,51.54107,-0.07646,171
P-3pAx0Y,51.54124,-0.07644,172
P-3pAx0Y,51.54132,-0.07642,173
P-3pAx0Y,51.54144,-0.07641,174
P-3pAx0Y,51.54144,-0.07641,175
P-3pAx0Y,51.54217,-0.07631,176
P-3pAx0Y,51.54236,-0.07628,177
P-3pAx0Y,51.5425,-0.07626,178
P-3pAx0Y,51.54326,-0.07617,179
P-3pAx0Y,51.54414,-0.07605,180
P-3pAx0Y,51.54425,-0.07604,181
P-3pAx0Y,51.54435,-0.07603,182
P-3pAx0Y,51.54453,-0.07601,183
P-3pAx0Y,51.54453,-0.07601,184
P-3pAx0Y,51.54461,-0.076,185
P-3pAx0Y,51.54478,-0.07602,186
P-3pAx0Y,51.54489,-0.076,187
P-3pAx0Y,51.54504,-0.07597,188
P-3pAx0Y,51.54526,-0.07592,189
P-3pAx0Y,51.5453,-0.07591,190
P-3pAx0Y,51.54537,-0.07589,191
P-3pAx0Y,51.5456,-0.07582,192
P-3pAx0Y,51.54567,-0.0758,193
P-3pAx0Y,51.54582,-0.07572,194
P-3pAx0Y,51.54599,-0.07568,195
P-3pAx0Y,51.54617,-0.07565,196
P-3pAx0Y,51.54613,-0.07581,197
P-3pAx0Y,51.54611,-0.07594,198
P-3pAx0Y,51.54609,-0.07612,199
P-3pAx0Y,51.54608,-0.07631,200
P-3pAx0Y,51.54607,-0.07652,201
P-3pAx0Y,51.54606,-0.07674,202
